,Air Quality Index,Components,Time
50,{'aqi': 3},"{'co': 403.88, 'no': 31.74, 'no2': 59.63, 'o3': 0.07, 'so2': 200.27, 'pm2_5': 14.07, 'pm10': 16.38, 'nh3': 0.87}",1672689600
51,{'aqi': 3},"{'co': 367.16, 'no': 24.81, 'no2': 57.58, 'o3': 0.2, 'so2': 175.48, 'pm2_5': 11.95, 'pm10': 13.85, 'nh3': 0.77}",1672693200
52,{'aqi': 3},"{'co': 343.8, 'no': 21.23, 'no2': 54.84, 'o3': 0.27, 'so2': 162.12, 'pm2_5': 12.85, 'pm10': 14.63, 'nh3': 0.79}",1672696800
53,{'aqi': 3},"{'co': 317.1, 'no': 15.65, 'no2': 51.41, 'o3': 0.8, 'so2': 146.87, 'pm2_5': 13.58, 'pm10': 15.31, 'nh3': 0.8300000000000001}",1672700400
54,{'aqi': 3},"{'co': 297.07, 'no': 9.72, 'no2': 50.04, 'o3': 2.32, 'so2': 129.7, 'pm2_5': 13.84, 'pm10': 15.51, 'nh3': 0.8300000000000001}",1672704000
55,{'aqi': 3},"{'co': 313.76, 'no': 11.51, 'no2': 51.41, 'o3': 1.92, 'so2': 129.7, 'pm2_5': 21.58, 'pm10': 23.53, 'nh3': 1.01}",1672707600
56,{'aqi': 3},"{'co': 350.48, 'no': 18.1, 'no2': 53.47, 'o3': 0.76, 'so2': 141.14, 'pm2_5': 30.06, 'pm10': 32.54, 'nh3': 1.23}",1672711200
57,{'aqi': 3},"{'co': 367.16, 'no': 21.68, 'no2': 53.47, 'o3': 0.59, 'so2': 143.05, 'pm2_5': 33.37, 'pm10': 36.16, 'nh3': 1.31}",1672714800
58,{'aqi': 3},"{'co': 323.77, 'no': 15.2, 'no2': 47.98, 'o3': 8.94, 'so2': 101.09, 'pm2_5': 24.53, 'pm10': 26.78, 'nh3': 1}",1672718400
59,{'aqi': 3},"{'co': 320.43, 'no': 16.32, 'no2': 42.5, 'o3': 25.39, 'so2': 97.27, 'pm2_5': 20.48, 'pm10': 22.34, 'nh3': 0.88}",1672722000
60,{'aqi': 3},"{'co': 343.8, 'no': 21.01, 'no2': 40.44, 'o3': 35.76, 'so2': 108.72, 'pm2_5': 19.22, 'pm10': 20.92, 'nh3': 0.85}",1672725600
61,{'aqi': 3},"{'co': 363.83, 'no': 23.02, 'no2': 43.53, 'o3': 41.13, 'so2': 135.42, 'pm2_5': 11.28, 'pm10': 12.48, 'nh3': 0.59}",1672729200
62,{'aqi': 3},"{'co': 407.22, 'no': 30.4, 'no2': 50.72, 'o3': 36.84, 'so2': 158.31, 'pm2_5': 12.24, 'pm10': 13.53, 'nh3': 0.63}",1672732800
63,{'aqi': 3},"{'co': 460.62, 'no': 38, 'no2': 60.32, 'o3': 27.54, 'so2': 188.83, 'pm2_5': 13.58, 'pm10': 14.95, 'nh3': 0.66}",1672736400
64,{'aqi': 3},"{'co': 453.95, 'no': 22.8, 'no2': 71.97, 'o3': 26.11, 'so2': 190.73, 'pm2_5': 10.7, 'pm10': 11.83, 'nh3': 0.49}",1672740000
65,{'aqi': 3},"{'co': 467.3, 'no': 12.85, 'no2': 84.31, 'o3': 13.59, 'so2': 183.11, 'pm2_5': 10.29, 'pm10': 11.52, 'nh3': 0.5}",1672743600
66,{'aqi': 3},"{'co': 440.6, 'no': 5.59, 'no2': 87.05, 'o3': 5.5, 'so2': 169.75, 'pm2_5': 9.51, 'pm10': 10.84, 'nh3': 0.52}",1672747200
67,{'aqi': 3},"{'co': 417.23, 'no': 5.09, 'no2': 82.25, 'o3': 4.92, 'so2': 165.94, 'pm2_5': 9.25, 'pm10': 10.54, 'nh3': 0.54}",1672750800
68,{'aqi': 3},"{'co': 397.21, 'no': 4.86, 'no2': 78.14, 'o3': 5.19, 'so2': 165.94, 'pm2_5': 9.24, 'pm10': 10.52, 'nh3': 0.55}",1672754400
69,{'aqi': 3},"{'co': 363.83, 'no': 2.6, 'no2': 69.92, 'o3': 10.37, 'so2': 156.4, 'pm2_5': 8.37, 'pm10': 9.58, 'nh3': 0.5}",1672758000
70,{'aqi': 3},"{'co': 360.49, 'no': 4.25, 'no2': 68.55, 'o3': 7.15, 'so2': 160.22, 'pm2_5': 11.39, 'pm10': 12.76, 'nh3': 0.58}",1672761600
71,{'aqi': 3},"{'co': 377.18, 'no': 8.05, 'no2': 66.49, 'o3': 2.46, 'so2': 162.12, 'pm2_5': 14.64, 'pm10': 16.29, 'nh3': 0.64}",1672765200
72,{'aqi': 3},"{'co': 363.83, 'no': 5.48, 'no2': 61.69, 'o3': 4.5600000000000005, 'so2': 143.05, 'pm2_5': 12.34, 'pm10': 13.98, 'nh3': 0.56}",1672768800
73,{'aqi': 3},"{'co': 327.11, 'no': 1.08, 'no2': 50.72, 'o3': 19.85, 'so2': 114.44, 'pm2_5': 8.33, 'pm10': 9.79, 'nh3': 0.42}",1672772400
74,{'aqi': 3},"{'co': 320.43, 'no': 0.19, 'no2': 43.87, 'o3': 36.84, 'so2': 103.95, 'pm2_5': 6.15, 'pm10': 7.35, 'nh3': 0.34}",1672776000
75,{'aqi': 3},"{'co': 330.45, 'no': 0.15, 'no2': 43.87, 'o3': 40.77, 'so2': 106.81, 'pm2_5': 5.36, 'pm10': 6.42, 'nh3': 0.29}",1672779600
76,{'aqi': 2},"{'co': 257.02, 'no': 0.01, 'no2': 18.68, 'o3': 75.1, 'so2': 46.73, 'pm2_5': 2.31, 'pm10': 2.65, 'nh3': 0.1}",1672783200
77,{'aqi': 2},"{'co': 263.69, 'no': 0.01, 'no2': 19.54, 'o3': 72.96, 'so2': 49.11, 'pm2_5': 2.38, 'pm10': 2.66, 'nh3': 0.11}",1672786800
78,{'aqi': 2},"{'co': 280.38, 'no': 0.02, 'no2': 23.65, 'o3': 65.8, 'so2': 60.08, 'pm2_5': 2.88, 'pm10': 3.18, 'nh3': 0.14}",1672790400
79,{'aqi': 3},"{'co': 310.42, 'no': 0.07, 'no2': 33.93, 'o3': 52.93, 'so2': 87.74, 'pm2_5': 4.48, 'pm10': 4.86, 'nh3': 0.2}",1672794000
80,{'aqi': 3},"{'co': 360.49, 'no': 0.26, 'no2': 49.35, 'o3': 37.55, 'so2': 125.89, 'pm2_5': 6.99, 'pm10': 7.53, 'nh3': 0.30000000000000004}",1672797600
81,{'aqi': 3},"{'co': 397.21, 'no': 0.75, 'no2': 59.63, 'o3': 26.46, 'so2': 154.5, 'pm2_5': 8.83, 'pm10': 9.53, 'nh3': 0.38}",1672801200
82,{'aqi': 3},"{'co': 407.22, 'no': 3.63, 'no2': 58.26, 'o3': 24.32, 'so2': 158.31, 'pm2_5': 9.11, 'pm10': 9.91, 'nh3': 0.41000000000000003}",1672804800
83,{'aqi': 3},"{'co': 413.89, 'no': 9.16, 'no2': 52.78, 'o3': 28.97, 'so2': 160.22, 'pm2_5': 8.75, 'pm10': 9.56, 'nh3': 0.42}",1672808400
84,{'aqi': 3},"{'co': 427.25, 'no': 14.31, 'no2': 49.35, 'o3': 33.26, 'so2': 167.85, 'pm2_5': 8.53, 'pm10': 9.34, 'nh3': 0.42}",1672812000
85,{'aqi': 3},"{'co': 433.92, 'no': 16.54, 'no2': 45.24, 'o3': 35.05, 'so2': 162.12, 'pm2_5': 8.21, 'pm10': 9.14, 'nh3': 0.4}",1672815600
86,{'aqi': 3},"{'co': 440.6, 'no': 17.43, 'no2': 43.87, 'o3': 33.62, 'so2': 162.12, 'pm2_5': 8.06, 'pm10': 9.1, 'nh3': 0.39}",1672819200
87,{'aqi': 3},"{'co': 427.25, 'no': 16.54, 'no2': 44.55, 'o3': 31.47, 'so2': 160.22, 'pm2_5': 7.74, 'pm10': 8.69, 'nh3': 0.38}",1672822800
